company_id,word1,word2,count
familymart,"

",うま,1
familymart,"

",おめでとう,1
familymart,"

",さま,4
familymart,"

",そのまま,1
familymart,"

",づくり,1
familymart,"

",とも,1
familymart,"

",とる,1
familymart,"

",ふさわしい,1
familymart,"

",インフラ,1
familymart,"

",コンビニ,1
familymart,"

",ステージ,1
familymart,"

",スピード感,1
familymart,"

",ファミリーマート,3
familymart,"

",リアル店舗,1
familymart,"

",一丸,1
familymart,"

",世界中,1
familymart,"

",丙,1
familymart,"

",丙午,3
familymart,"

",仕組み,1
familymart,"

",健やか,1
familymart,"

",全力,1
familymart,"

",分かち合う,1
familymart,"

",創る,1
familymart,"

",創立,1
familymart,"

",力強い,1
familymart,"

",加盟店,2
familymart,"

",勢い,1
familymart,"

",単なる,1
familymart,"

",周年,3
familymart,"

",喜び,1
familymart,"

",基盤,1
familymart,"

",大きな,3
familymart,"

",存在,1
familymart,"

",干支,1
familymart,"

",店舗,1
familymart,"

",感謝,1
familymart,"

",振り返る,1
familymart,"

",推進力,1
familymart,"

",掲げる,1
familymart,"

",支える,2
familymart,"

",日本,1
familymart,"

",日頃,1
familymart,"

",明ける,1
familymart,"

",求める,1
familymart,"

",深い,1
familymart,"

",牽引,1
familymart,"

",示す,1
familymart,"

",稼げる,1
familymart,"

",立ち止まる,1
familymart,"

",立つ,1
familymart,"

",節目,2
familymart,"

",続ける,1
familymart,"

",言える,1
familymart,"

",話題,1
familymart,"

",象徴,1
familymart,"

",走る,1
familymart,"

",迎える,2
familymart,"

",迷う,1
familymart,"

",通過,1
familymart,"

",関わる,1
familymart,"

",馳せる,1
familymart,"

",駆け抜ける,2
familymart,いける,信ずる,1
familymart,いける,単なる,1
familymart,いける,周年,1
familymart,いける,強み,1
familymart,いける,必要,1
familymart,いける,積み重ねる,1
familymart,いける,節目,1
familymart,いける,通過,1
familymart,うま,エネルギー,1
familymart,うま,丙,1
familymart,うま,丙午,1
familymart,うま,太陽,1
familymart,うま,干支,1
familymart,うま,情熱,1
familymart,うま,続ける,1
familymart,おめでとう,ファミリーマート,1
familymart,おめでとう,健やか,1
familymart,おめでとう,明ける,1
familymart,おめでとう,迎える,1
familymart,さま,すべて,1
familymart,さま,づくり,1
familymart,さま,とも,1
familymart,さま,ファミリーマート,1
familymart,さま,一丸,1
familymart,さま,一人ひとり,1
familymart,さま,世界中,2
familymart,さま,乗り越える,1
familymart,さま,体験,1
familymart,さま,全力,1
familymart,さま,分かち合う,1
familymart,さま,加盟店,4
familymart,さま,取引先,3
familymart,さま,喜び,1
familymart,さま,地域社会,3
familymart,さま,店舗,1
familymart,さま,感謝,1
familymart,さま,成功,1
familymart,さま,支える,2
familymart,さま,日頃,1
familymart,さま,流す,1
familymart,さま,深い,1
familymart,さま,現場,1
familymart,さま,社員,1
familymart,さま,話題,1
familymart,さま,迎える,1
familymart,さま,関わる,1
familymart,さま,関係者,3
familymart,さま,駆け抜ける,1
familymart,すべて,とも,1
familymart,すべて,ファミリーマート,1
familymart,すべて,健やか,1
familymart,すべて,分かち合う,1
familymart,すべて,喜び,1
familymart,すべて,迎える,1
familymart,すべて,関わる,1
familymart,そのまま,スピード,1
familymart,そのまま,ファミリーマート,1
familymart,そのまま,丙午,1
familymart,そのまま,勢い,1
familymart,そのまま,走る,2
familymart,そのまま,駆け抜ける,1
familymart,づくり,加盟店,1
familymart,づくり,日本,1
familymart,づくり,流す,1
familymart,づくり,現場,1
familymart,づくり,示す,1
familymart,づくり,話題,1
familymart,とも,ファミリーマート,1
familymart,とも,分かち合う,1
familymart,とも,喜び,1
familymart,とも,日頃,1
familymart,とも,関わる,1
familymart,とる,ファミリーマート,1
familymart,とる,大きな,1
familymart,とる,大谷,1
familymart,とる,感謝,1
familymart,とる,振り返る,1
familymart,とる,翔平,1
familymart,とる,転機,1
familymart,ふさわしい,コンビニ,1
familymart,ふさわしい,チャレンジ,1
familymart,ふさわしい,ファミリーマート,1
familymart,ふさわしい,単なる,1
familymart,ふさわしい,周年,1
familymart,ふさわしい,掲げる,1
familymart,ふさわしい,節目,1
familymart,もつ,スピード感,1
familymart,もつ,丙午,1
familymart,もつ,拓ける,1
familymart,もつ,挑戦,1
familymart,もつ,現状,1
familymart,もつ,立ち止まる,1
familymart,もつ,言う,1
familymart,もつ,迷う,1
familymart,インフラ,便利,1
familymart,インフラ,単なる,1
familymart,インフラ,存在,1
familymart,インフラ,支える,1
familymart,インフラ,日本,1
familymart,インフラ,示す,1
familymart,インフラ,話題,1
familymart,エネルギー,丙,1
familymart,エネルギー,丙午,1
familymart,エネルギー,力強い,1
